	Overall	Adherence to Prompt	Clarity of Thesis	Strength of Argument	Development	Organization	Coherence	Cohesion	Sentence Structure	Vocabulary	Technical Quality
CZUN1006	[2.0, 2.0]	[3.0, 3.5]	[2.0, 2.0]	[2.0, 1.0]	[2.5, 2.0]	[1.5, 1.0]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.5, 3.5]
CNUK2011	[2.5, 2.5]	[3.5, 4.0]	[3.0, 2.5]	[2.0, 2.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
DBAN2055	[3.5, 3.5]	[3.5, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[2.5, 2.5]	[3.5, 3.5]	[3.5, 3.5]
CZPR4005	[2.5, 2.5]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
SPM03014	[2.5, 1.5]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.5]
CNUK1126	[3.5, 3.0]	[4.0, 4.0]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]
SPM01017	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[2.0, 2.0]
CNUK1073	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]
NOUO1075	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[4.0, 4.0]
RUMO8004	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.5]
FIJY1026	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TRCU1047	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[3.5, 4.0]	[3.5, 3.5]	[2.5, 2.0]	[3.0, 3.5]	[2.5, 2.0]
NOAC1004	[2.5, 3.0]	[2.5, 2.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]
FRUB1017	[3.5, 4.0]	[4.0, 4.0]	[3.0, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[3.5, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]
CNUK4018	[3.0, 3.0]	[4.0, 4.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
RUMO5044	[2.0, 1.5]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]
TSNO1435	[2.5, 2.5]	[2.5, 2.0]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]
RUMO1014	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
DBAN3054	[3.5, 3.0]	[3.5, 2.5]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]
BGSU1008	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.5]
BGSU1299	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 1.5]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.5, 3.5]
SWUL3008	[2.5, 3.0]	[3.5, 4.0]	[3.5, 4.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOAC1016	[3.0, 2.5]	[4.0, 4.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
BGSU1241	[2.5, 3.5]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.5]	[2.0, 2.0]	[2.0, 1.5]	[2.5, 2.5]	[2.0, 1.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
NOHO1001	[3.0, 3.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]
TSNO1448	[2.0, 2.0]	[2.0, 1.5]	[3.0, 3.0]	[2.0, 1.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[2.0, 2.0]	[2.0, 2.5]	[2.5, 2.5]	[2.0, 2.0]
CNUK1185	[3.0, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.0]
TSNO1145	[2.0, 1.5]	[2.5, 2.5]	[2.0, 1.5]	[2.5, 3.0]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[2.0, 2.5]
CNUK1117	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[2.5, 2.5]
BGSU1021	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]
NOHO1045	[2.5, 2.0]	[4.0, 4.0]	[3.0, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 2.5]
CNUK1169	[3.5, 3.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]
TSKC1349	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.5, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 3.0]
RUMO5023	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]
DBAN3071	[2.0, 2.0]	[3.0, 3.0]	[3.5, 3.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
BGSU1077	[3.5, 3.0]	[4.0, 2.5]	[4.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[2.5, 2.5]	[3.5, 3.0]	[4.0, 2.5]	[4.0, 3.0]
SPM03028	[2.5, 2.0]	[4.0, 4.0]	[3.0, 2.0]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 3.0]
BGSU1282	[3.5, 3.5]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 2.5]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]
SPM04016	[2.0, 1.5]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[2.0, 2.5]
TRCU1057	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
CNUK1173	[2.0, 1.5]	[2.5, 2.0]	[3.5, 4.0]	[2.5, 3.5]	[2.0, 2.0]	[3.0, 3.5]	[2.5, 2.0]	[2.0, 1.5]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]
BGSU1138	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
TRCU1124	[2.5, 2.5]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[2.0, 2.0]	[2.0, 2.0]
RUMO4026	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.5]
SPM03007	[3.0, 2.0]	[4.0, 2.0]	[4.0, 2.5]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]
FRUC3060	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 4.0]
SWUL5002	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
SPM03013	[2.5, 2.0]	[4.0, 4.0]	[2.0, 1.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 3.0]	[3.0, 4.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]
BGSU1086	[3.5, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.0]
CZPR2023	[2.5, 2.5]	[4.0, 4.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[1.0, 1.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
RUMO5002	[3.0, 3.5]	[4.0, 4.0]	[3.5, 3.5]	[2.5, 1.5]	[3.0, 3.0]	[2.5, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]
SPM10006	[2.5, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 1.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.0]
FRUB2013	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]
FIHE1019	[2.5, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[2.0, 3.0]	[2.5, 3.0]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
CZPR3010	[2.0, 2.0]	[2.5, 2.5]	[1.5, 1.5]	[2.0, 2.5]	[2.0, 1.5]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]
RUMO6008	[2.5, 2.5]	[4.0, 4.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
FIJY1044	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]
ITTO5007	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN3004	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 2.5]
DBAN1017	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.5]
FIJY1027	[2.5, 2.5]	[2.0, 2.0]	[4.0, 4.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOOS1003	[3.0, 3.5]	[3.5, 4.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[3.5, 4.0]	[3.5, 3.5]	[3.0, 3.5]	[3.0, 2.5]	[2.5, 2.0]
BGSU1266	[3.0, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
BGSU1179	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]
BGSU1180	[3.0, 3.0]	[4.0, 4.0]	[3.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[2.5, 1.5]	[3.0, 2.5]	[3.0, 3.5]
CNUK1080	[2.5, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[2.0, 1.5]	[3.0, 2.5]	[2.0, 1.5]	[2.5, 2.0]	[2.0, 1.5]
SPM03052	[2.5, 2.5]	[3.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[2.0, 2.5]
ITRS2032	[2.5, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[3.5, 3.0]	[3.5, 4.0]	[3.0, 3.0]
BGSU1228	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]
FIJY1075	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
SPM01005	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[3.5, 4.0]	[3.5, 3.5]	[3.0, 3.5]
FRUL1021	[2.5, 2.5]	[4.0, 4.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]
NOHO1023	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
TRCU1143	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]
SWUL4017	[3.0, 2.5]	[3.5, 2.0]	[3.5, 1.5]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 1.0]	[2.5, 2.0]	[2.5, 2.0]	[4.0, 2.0]	[3.5, 2.0]
TRME3018	[3.5, 2.0]	[4.0, 2.5]	[4.0, 2.0]	[4.0, 2.5]	[4.0, 2.0]	[3.5, 2.0]	[4.0, 3.0]	[3.5, 1.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]
CNUK1114	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
DBAN2031	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 1.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]
DBAN3049	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
RUMO5032	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]
DBAN1029	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]
RUMO3001	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]
TRCU1146	[2.5, 2.0]	[3.0, 3.5]	[3.0, 2.0]	[2.0, 1.5]	[2.5, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 2.5]	[2.0, 1.5]	[2.5, 2.0]	[2.0, 2.0]
BGSU1124	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]
BGSU1200	[2.5, 2.5]	[1.5, 1.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
RUMO9014	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
CNUK1101	[2.5, 2.5]	[3.5, 4.0]	[3.5, 4.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 1.5]	[1.5, 1.5]	[2.5, 3.0]	[2.0, 1.5]
BGSU1165	[3.0, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
BGSU1234	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]
CZKR1004	[2.5, 2.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[2.5, 2.0]	[3.5, 3.5]	[3.0, 3.0]
TRCU1068	[3.0, 3.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.5]
FIJY1078	[2.5, 2.5]	[3.0, 3.5]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 2.5]
RUMO4025	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
RUMO7061	[2.5, 2.0]	[3.0, 2.0]	[4.0, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]
CZUN1028	[3.0, 3.5]	[3.0, 2.5]	[2.5, 2.0]	[2.5, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUB2007	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
SPM02015	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.5]	[2.5, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.5]
DBAN3016	[2.5, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]
SPM03009	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]
POPZ1009	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]
SPM02004	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.5]	[2.0, 2.0]	[3.5, 4.0]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]
CNUK1170	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 4.0]	[2.5, 1.0]	[2.0, 1.5]	[2.0, 1.5]	[2.0, 2.5]	[2.0, 1.5]
DBAN2022	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]
TSNO1438	[2.0, 2.0]	[2.5, 3.0]	[2.5, 1.5]	[2.0, 1.5]	[2.0, 2.0]	[2.5, 1.5]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 2.5]	[2.0, 1.5]
FRUC3076	[3.0, 3.5]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]
FRUC3070	[3.5, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]
FRUC3056	[2.5, 2.0]	[4.0, 4.0]	[3.0, 2.5]	[2.0, 2.0]	[2.5, 3.0]	[2.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOUO1086	[2.5, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[2.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]
